id,user_id,typeid,area_code,name,phone,owner_name,owner_phone,contact_person_position,contact_person_fname,contact_person_lname,address,city,state,zip,details,description,logo,website,email,latitude,longitude,review_avg,review_count,created,modified,modified_by,delivery_distance,delivery,takeaway,delivery_fee,status,opening_time,closing_time,table_pricing,taxes
,2,1,,Buffet Hut,0172 4001213,Mr. Rajesh,9877789,,,,"SCO 143 &amp; 144, Madhya Marg, Sector 9-C, Sector 9 ",Chandigarh,Punjab,160025,,"pocket friendly, elaborate buffets.",409583-buffet-hut.PNG,buffethut.com,rajdep@gfgmo.com,30.746668,76.79424,4,50,8/1/2016 0:58,9/22/2016 13:25,0,10,1,1,20,1,0:00:00,0:00:00,6,12.5
,2,3,,Ginger Chandigarh, 0172 300 7777,Mr. Lalit, 0172 300 7777,,,,"Rajiv Gandhi IT Park, Near DLF Commercial Complex",Chandigarh,Punjab,160010,,Just the ambience and quality of food.,r1.jpg,thelalit.com,rajdep@gfgmo.com,30.5389944,75.9550329,5,10,8/19/2016 6:26,8/19/2016 6:28,0,,1,0,10,1,0:00:00,0:00:00,8,12.5
,2,1,,jw-marriot,jw-marriot,himanshi,8950578343,,,,"Plot no: 6, B, Dakshin Marg, Sector 35, Chandigarh, 160035",chandigarh,chandigarh,160101,,five star hotel,r2.jpg,abc.com,abc@gmal.com,30.729551,76.7656294,5,30,8/19/2016 6:28,8/19/2016 6:29,0,,1,1,15,1,0:00:00,0:00:00,15,12.5
,2,1,,The Altius Hotel,8054209600,babita,8054209600,,,,"Plot No. 25/9, Dakshin Marg, Industrial Area Phase-II,  ",Chandigarh,Punjab,160002,,asdf,r3.jpg,asdf,rajdep@gfgmo.com,30.7002302,76.7934113,2,10,8/19/2016 6:29,8/19/2016 6:29,0,,1,0,10,1,0:00:00,0:00:00,7,12.5
,2,3,,Virgin Courtyard,76986990,John Dommon,876998,,,,"SCO 1A, Madhya Marg, Sector 7C",chandigarhh,chnadigarh,769870,,nice....,r5.jpg,abc.com,abc@gmal.com,30.7271872,76.8039208,3,50,8/19/2016 6:29,8/19/2016 6:31,0,,0,1,20,1,0:00:00,0:00:00,18,12.5
,2,1,,Swagath,0172 4001213,rahul,8054209600,,,," SCO 7, Sector 26, Madhya Marg, Chandigarh, 160019",Chandigarh,Punjab,160020,,Authentic Food taste.,restaurant.jpg,g.com,rajdep@gfgmo.com,30.7271872,76.8039208,5,10,8/19/2016 6:31,8/19/2016 6:32,0,12,1,0,20,1,0:00:00,0:00:00,12,12.5
,2,3,,Sundarams South Indian Food,897008,sandeep,98098-,,,,"SCO 7, Sector 26, Madhya Marg",chandigarh,chnadigarh,160101,,nice .....hotel..,n1.jpg,sic.com,sic@gmail.com,30.726216,76.8049157,3,30,8/19/2016 6:32,8/19/2016 6:32,0,6,1,0,10,1,0:00:00,0:00:00,10,12.5
,2,1,,Med Malina,6679080,manisha,770890679,,,,"Hlavna 81, Kosice 040 01, Slovakia",kosice,kosice,79808-0,,nice...,063343r5.jpg,sdc.com,sdc@gmail.com,48.7234022,21.2569001,1,60,9/13/2016 16:45,9/13/2016 16:46,0,4,1,1,15,1,6:00:00,12:00:00,9,12.5
,2,1,,Republika Vychodu,56586,seiku,79089,,,,"Hlavna 31, Kosice 040 01, Slovakia",kosice,slovakia,7698789,,nice,063445r5.jpg,abc.com,abc@gmal.com,48.7202034,21.258917,3,0,8/19/2016 6:33,8/19/2016 6:34,0,7,1,0,10,1,0:00:00,0:00:00,11,12.5
,2,1,,the lalit,70980,lalit,798709,,,,"Rajiv Gandhi IT Park, Near DLF Commercial Complex, Chandigarh",chandigarh,chandigarh,9867868,,five star hotel,Chandigarh.jpg,sic.com,sic@gmail.com,30.7399738,76.7567368,3,0,8/19/2016 6:35,8/19/2016 6:37,0,5,1,0,15,1,0:00:00,0:00:00,13,12.5
